code,stop_name,street_name,lat,lng,route
KL113,KL113 HAB LEBUH PUDU,JLN TUN PERAK,3.146744,101.698695,151;450;590;851
KL1939,KL1939 MEDAN PASAR,JLN LEBUH AMPANG,3.148202,101.696375,151;171;173;202;220;250
KL117,KL117 BSN LEBUH AMPANG,JLN LEBUH AMPANG,3.149245404,101.6973718,151;171;173;202;220;250;300;303
KL30,KL30 AMANAHRAYA,JLN AMPANG,3.151912601,101.6979981,151;171;173;202;220;250;300;303
KL31,KL31 HENTIAN MUNSHI ABDULLAH,JLN MUNSHI ABDULLAH,3.1532583,101.6984843,151;171;173;202;220;250;300;303
KL32,KL32 CAPSQUARE,JLN MUNSHI ABDULLAH,3.154652239,101.6983747,151;171;173;202;220;250;300;303
KL1940,KL1940 SOGO KL,JLN DANG WANGI,3.15677881,101.6953584,151;171;173;200;202;220;250
KL40,KL40 MEDAN MARA,JLN RAJA LAUT,3.157724,101.694556,151;171;173;180;190;200;202;220;250
KL41,KL41 LRT SULTAN ISMAIL/WISMA SIME DARBY,JLN RAJA LAUT,3.162154,101.695526,151;171;173;190;200;202;220;250
KL42,KL42 EDC HOTEL,JLN RAJA LAUT,3.165085,101.696133,151;171;173;180;190;200;202;220;250
KL46,KL46 CHOWKIT/KFC (BARAT),JLN RAJA LAUT,3.167208,101.696275,151;171;173;180;190;200;202;250
KL47,KL47 DAMAI HOSPITAL (OPP),JLN SULTAN AZLAN SHAH,3.169272,101.695689,151;171;173;180;190;191
KL49,KL49 PERKIM/PUSRAWI,JLN SULTAN AZLAN SHAH,3.171001,101.693422,151;171;173;180;190;191
KL578,KL578 TAMAN GOLDEN,JLN SULTAN AZLAN SHAH,3.174173,101.690357,151;173;190;191
KL579,KL579 SK SRI DHANDAYUTHAPANI,JLN SULTAN AZLAN SHAH,3.176318,101.688001,151;173;190;191
KL1580,KL1580 MRT SENTUL BARAT PINTU B,JLN SULTAN AZLAN SHAH,3.178238,101.685753,151;T180
KL580,KL580 RIVERCITY 3RD MILE,JLN SULTAN AZLAN SHAH,3.180075,101.683043,151;173;190;191;T180
KL581,KL581 BATU COMPLEX BUSINESS CENTRE,JLN SULTAN AZLAN SHAH,3.183872,101.681078,151;173;T119
KL583,KL583 SMK (P) JLN IPOH,JLN SULTAN AZLAN SHAH,3.187494,101.681611,151;173;T119
KL584,KL584 KOMPLEKS MUTIARA,JLN SULTAN AZLAN SHAH,3.188964,101.680933,151;173;T119
KL585,KL585 MRT KENTOMEN PINTU B,JLN SULTAN AZLAN SHAH,3.194339,101.679474,151;173
KL586,KL586 KOMPLEKS MIKASA,JLN SULTAN AZLAN SHAH,3.198519,101.678381,151;173
KL1577,KL1577 SK KAMPUNG BATU (OPP),JLN SULTAN AZLAN SHAH,3.201914,101.676269,151;173
KL587,KL587 KOMERSIAL KOK LIAN,JLN SULTAN AZLAN SHAH,3.202668,101.673614,151;T120
KL565,KL565 KTM TAMAN WAHYU (OPP),JLN KUCHING,3.214823,101.671769,151
KL566,KL566 LOTUS SELAYANG,JLN KUCHING,3.222303,101.671636,151
KL2247,KL2247 KOMERSIAL KIP,JLN KUCHING,3.224288,101.671585,151
KL567,KL567 TAMAN SRI SELAYANG,JLN KUCHING,3.235105,101.671394,151;BET16
KL569,KL569 TAMAN DESA BAKTI,JLN KUCHING,3.242992,101.662831,151;BET16
SL531,SL531 SELAYANG PANDANG,JLN KUCHING,3.244594,101.658687,151
SL532,SL532 SELAYANG PANDANG,JLN KUCHING,3.245313,101.658162,151
SL533,SL533 POS MALAYSIA SELAYANG (OPP),JLN BESAR SELAYANG,3.244942,101.669029,151
SL55,SL55 GIANT SELAYANG,JLN BESAR SELAYANG,3.246598,101.671185,151
SL45,SL45 BALAI POLIS SELAYANG BARU,JLN 11,3.248103,101.671316,151;MPS1
SL46,SL46 PERUMAHAN SELAYANG BARU,JLN 11,3.251207,101.669677,151;MPS1
SL51,SL51 SELAYANG BARU (UTARA),JLN 29,3.250971,101.666894,151;MPS1
SL52,SL52 SELAYANG BARU (BARAT),JLN 29,3.249764,101.664336,151;MPS1
SL291,SL291 TAMAN SELAYANG INDAH,JLN 35A,3.249575,101.662586,151;MPS1
SL292,SL292 TAMAN SELAYANG SEGAR,JLN BESAR,3.251495,101.659824,151;MPS1
SL293,SL293 BULATAN BERINGIN,JLN BESAR,3.250406,101.658164,151;MPS1
SL524,SL524 BOMBA BANDAR SELAYANG,PERS 1,3.254808,101.655816,151;MPS4
SL266,SL266 SELAYANG 18 RESIDENCES,PERS 1,3.255311,101.654675,151;MPS1;MPS4
SL282,SL282 SELAYANG 18 RESIDENCES (OPP),PERS 1,3.255524,101.654888,151;MPS1;MPS4
SL283,SL283 DATARAN BANDAR BARU SELAYANG,JLN 2/2,3.255694,101.657104,151;MPS1;MPS4
SL287,SL287 STADIUM MPS (BARAT),PERS 1,3.254584,101.656382,151
SL288,SL288 BULATAN BERINGIN SELAYANG,JLN BESAR,3.250878,101.657971,151;MPS1;MPS4
SL289,SL289 TAMAN SELAYANG SEGAR,JLN BESAR,3.251781,101.660001,151;MPS1
SL290,SL290 TAMAN SELAYANG INDAH,JLN 35A,3.249568,101.662934,151;MPS1
SL37,SL37 SELAYANG BARU (BARAT),JLN 29,3.249922,101.664378,151;MPS1
SL536,SL536 SELAYANG BARU (UTARA),JLN 29,3.250902,101.666458,151;MPS1
SL43,SL43 PERUMAHAN SELAYANG BARU,JLN 11,3.250014,101.670495,151;MPS1
SL44,SL44 BALAI POLIS SELAYANG BARU (OPP),JLN 11,3.248185,101.671422,151;MPS1
SL34,SL34 GIANT SELAYANG,JLN BESAR SELAYANG,3.246619,101.671394,151
SL538,SL538 POS MALAYSIA SELAYANG,JLN BESAR SELAYANG,3.244932,101.669223,151
SL539,SL539 FLAT PASAR BORONG,JLN 2,3.241042,101.668447,151
KL840,KL840 TAMAN SRI SELAYANG,JLN KUCHING,3.235604,101.671683,151;BET16
KL1498,KL1498 KOMERSIAL KIP (OPP),JLN KUCHING,3.224205,101.671929,151
KL1505,KL1505 KTM TAMAN WAHYU,JLN KUCHING,3.215039,101.672071,151
KL588,KL588 TAMAN KOK LIAN/ PPR PEKAN BATU,JLN SULTAN AZLAN SHAH,3.202983,101.672999,151;T120
KL598,KL598 SK KAMPUNG BATU,JLN SULTAN AZLAN SHAH,3.201994,101.676612,151;173
KL599,KL599 TAMAN IMPIAN,JLN SULTAN AZLAN SHAH,3.200533,101.677558,151;173
KL600,KL600 BATU KENTOMEN,JLN SULTAN AZLAN SHAH,3.197445,101.679383,151;173
KL601,KL601 TAMAN RAINBOW,JLN SULTAN AZLAN SHAH,3.194458,101.679934,151;173;T119
KL602,KL602 TAMAN KAYA,JLN SULTAN AZLAN SHAH,3.191318,101.680711,151;173;T119
